Feature,Linear_Regression_Coefficient,Ridge_Coefficient,Lasso_Coefficient
game_id,-0.005257576722899233,-0.0052484900396532015,0.0
days_available,-0.00016147544725256258,-0.00016776408792537687,0.0
popularity_score,0.02438027311443365,0.02432799318673539,0.0
year,-0.013451010538394662,-0.013410619585859504,0.0
month,-0.02905541107276345,-0.028985963900834827,0.0
genre_encoded,-0.00366491194447757,-0.0036640934384727843,0.0
is_holiday,-0.01315321878042282,-0.013123436811647049,0.0
repeat_game,-0.011421392758076233,-0.01139103207309727,0.0
